[Result Details]
Result Name,[113.57] Vehicle, endurance track (6)
Date Created,8/11/2022 4:31:53 PM
Track,endurance track
Track Configuration,Open Circuit
Vehicle,Vehicle

[KPI Values]
Lap time [s],113.57471053688,
Percent in Corners [%],85.6347022676674,
Percent Accelerating [%],81.5677519279291,
Percent Braking [%],17.8641546044596,
Percent Coasting [%],0.353245481212143,
Percent 100% Throttle [%],13.8418132854883,
Percent TCS Enabled [%],9.29764491804284,
Lowest Speed [km/h],4.29769875011084,
Highest Speed [km/h],65.1900706185907,
Average Speed [km/h],47.9114325120513,
Energy Spent [kJ],571.760102390604,
Fuel Consumption [kg],0.835906582442404,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],11.9317586889948,
Maximum Longitudinal Acceleration [m/s^2],2.00222222222222,
Maximum Longitudinal Deceleration [m/s^2],-10.4055851656798,
Time in Sector 1 [s],113.57471053688,
Maximum Speed in Sector 1 [km/h],65.1900706185907,
Minimum Speed in Sector 1 [km/h],4.29769875011084,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],300,
Drag Coefficient [-],0.5,
Downforce Coefficient [-],0.366,
Aero Efficiency [-],0.732,
Frontal Area [m^2],0.759,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.228,
Air Density [kg/m^3],1.225,
Rev Limit [rpm],3255,
Longitudinal Friction [-],1,
Lateral Friction [-],1.2,
Final Drive Ratio [-],4,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],95,
Tire Rolling Drag [-],0.02,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],66.3520600783177,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],10.1238594136779,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
4.29769875011084,0.0135640099031997,0.25,-6.98478233679727,2.00222222222222,1,4,200,8.33966728441643,2.69665743025721,0.24249114989349,78.9626462422815,0,94.9892041814308,0,-48.6352266373518,1,66.3520600783177,1.2,1,0,0,0,0.163529106154168,0.189098106341693,0,2943.24249114989,
5.65839949338273,0.222978408708325,0.5,-0.057094038850227,1.80490181593658,1,4,263.32229513466,36.04,0.993804667356304,0.420350109777832,0.574248783849498,0,99.9091781890138,0,-43.2704532747037,1,66.3520600783177,1,1.2,-0.307607460079757,-0.251965845250972,-0.125998029570802,0.327968025733799,0.377405482376698,0,2943.42035010978,
6.6914158656531,0.382033986359305,0.75,-0.0911437201670903,1.80408003626874,1,4,311.395295702405,36.04,1.17523697757377,0.587841166286502,0.803061702577188,0,99.8729896863293,0,-37.9056799120555,1,66.3520600783177,1,1.2,-0.657249392539782,-0.416878796276053,-0.108576159996742,0.493415478524325,0.56482723621614,0,2943.58784116629,
7.56458113847836,0.51653466873651,1,-0.133893558967092,1.80330616046921,1,4,352.029380294897,36.04,1.32859407519864,0.751265981665336,1.02631964708379,0,99.8376797450506,0,-32.9765398348804,1,66.3520600783177,1,1.2,-1.06969461366591,-0.567620223597956,-0.11736450013887,0.660003469702235,0.751235771034739,0,2943.75126598167,
8.33663518449183,0.635510192103166,1.25,-0.179033833415344,1.80255107233317,1,4,387.958098937336,36.04,1.46419265131133,0.912442586027457,1.24650626506483,0,99.8028555574121,0,-29.9530796697608,1,66.3520600783177,1,1.2,-1.52106226235855,-0.716875623354225,-0.131371465915684,0.827928914722825,0.936440204274419,0,2943.91244258603,
9.03690004142099,0.743467417060571,1.5,-0.233993470244873,1.80180637183294,1,4,420.545997608042,36.04,1.58718263885386,1.07216816962083,1.4647106142361,0,99.7683448806563,0,-26.9296195046412,1,64.6933398104296,1,1.2,-2.02299853921808,-0.86270944594611,-0.141460492301572,0.99730803035634,1.12031588597485,0,2944.07216816962,
9.68263713160618,0.843059090740131,1.75,-0.29889684687231,1.80106837563013,1,4,450.596363058554,36.04,1.70059572233473,1.23086738956456,1.68151282727399,0,99.7340559623901,0,-24.2025417394566,1,61.2723845604483,1,1.2,-2.59109475202986,-1.02468099766356,-0.170311639573172,1.16829131173842,1.30270053930062,0,2944.23086738956,
10.2850645193959,0.936008974926352,2,-0.364302769559987,1.80033512163867,1,4,478.631245111382,36.04,1.80640216997577,1.38879451828006,1.8972602708744,0,99.6999338639294,0,-22.4050834789131,1,58.9165964436458,1,1.2,-3.20252993768285,-1.21747000395292,-0.217201104715062,1.34107440174755,1.48338079651183,0,2944.38879451828,
10.8519760442058,1.02351450280153,2.25,-0.440945285729704,1.79960543501809,1,4,505.013342032217,36.04,1.90597084129228,1.54611433056837,2.11217804722454,0,99.6659429836521,0,-20.6076252183697,1,56.4688247710762,1,1.2,-3.86439962767003,-1.34304710509498,-0.150280829103643,1.51577559149563,1.66220676718002,0,2944.54611433057,
